,Age,Quantity,Unit_Price,Total_Sales
Age,1.0,-0.027627813584786297,-0.012213720557261052,0.0014789937520899767
Quantity,-0.027627813584786297,1.0,0.021854636065217207,0.6466406163004238
Unit_Price,-0.012213720557261052,0.021854636065217207,1.0,0.6863034311312519
Total_Sales,0.0014789937520899767,0.6466406163004238,0.6863034311312519,1.0
